Dataset,Architecture,Optimizer,BatchSize,AvgTrainLoss,AvgValLoss,StdValLoss,Metric,TrainMetric,ValMetric,K
Kaggle Dataset,Shallow,BFGS (Custom),Full,0.0384780643143761,0.6529482804481644,0.1994649886950538,,,,
Kaggle Dataset,Deep,GradientDescent_Full (Custom),Full,1.0122785636339346,1.0171826155965824,0.0208226603457468,,,,
Kaggle Dataset,Deep,GradientDescent_MiniBatch (Custom),20,0.1087471632238668,0.2704599039059724,0.0334128929885003,,,,
Kaggle Dataset,Deep,SGD (Custom),1,0.1245707223103634,0.3149159822309549,0.0458991952134051,,,,
Kaggle Dataset,Deep,Adam (Custom),Full,0.2786915188129487,0.3364141025385332,0.0667777403292455,,,,
Kaggle Dataset,Deep,RMSProp (Custom),Full,0.6287473727798434,0.6545400723477789,0.0643179984923312,,,,
Synthetic,[16],gradientdescent (TF),,0.009362020883709191,0.009635895304381848,0.001139624890075637,mse,0.009362020883709191,0.009635895304381848,5.0
Synthetic,[16],gradientdescent (TF),20.0,0.00811589952558279,0.00831741623580456,0.00021803397347498562,mse,0.008115899506956337,0.008317416217178106,5.0
Synthetic,[16],gradientdescent (TF),1.0,0.008827674388885497,0.008698249496519563,0.00037194787381693815,mse,0.008827674388885497,0.008698249496519563,5.0
Synthetic,[16],adam (TF),,0.008337039919570088,0.008676921008154748,0.0009156802663599282,mse,0.008337039919570088,0.008676921008154748,5.0
Synthetic,[16],rmsprop (TF),,0.014620089549571275,0.014954620301723481,0.002043308100214807,mse,0.014620089549571275,0.014954620301723481,5.0
Synthetic,[16],adagrad (TF),,0.330787169933319,0.2930365698412061,0.24617154921454532,mse,0.330787169933319,0.2930365698412061,5.0
Synthetic,"[64, 32, 16]",gradientdescent (TF),,0.009710962045937774,0.010156889157369734,0.0015749180641978586,mse,0.009710962045937774,0.010156889157369734,5.0
Synthetic,"[64, 32, 16]",gradientdescent (TF),20.0,0.008559236694127323,0.008683475414291025,0.0004279157867693919,mse,0.008559236731380223,0.008683475414291025,5.0
Synthetic,"[64, 32, 16]",gradientdescent (TF),1.0,0.013456484377384188,0.014222425874322653,0.0005390731121015126,mse,0.013456484377384188,0.014222425874322653,5.0
Synthetic,"[64, 32, 16]",adam (TF),,0.012947001196444036,0.013372246809303762,0.001592113042638205,mse,0.012947001196444036,0.013372246809303762,5.0
Synthetic,"[64, 32, 16]",rmsprop (TF),,0.1167874151840806,0.13071747582405807,0.01791250488790078,mse,0.1167874151840806,0.13071747582405807,5.0
Synthetic,"[64, 32, 16]",adagrad (TF),,0.029921157732605935,0.032314385287463665,0.013320923261497402,mse,0.029921157732605935,0.032314385287463665,5.0
Higham Toy,[16],gradientdescent (TF),,0.21074422359466555,0.2120517146587372,0.031222716863233267,mse,0.21074422359466555,0.2120517146587372,5.0
Higham Toy,[16],gradientdescent (TF),20.0,0.17617707073688507,0.19844967395067217,0.09327805575273287,mse,0.17617707073688507,0.19844967395067217,5.0
Higham Toy,[16],gradientdescent (TF),1.0,0.14256467744708062,0.1872946066223085,0.15604946624019284,mse,0.14256467744708062,0.1872946066223085,5.0
Higham Toy,[16],adam (TF),,0.12268462911248205,0.2698291356861591,0.18050166118041755,mse,0.12268462911248205,0.2698291356861591,5.0
Higham Toy,[16],rmsprop (TF),,0.12332362338900564,0.26492596469819546,0.17664100338489339,mse,0.12332362338900564,0.26492596469819546,5.0
Higham Toy,[16],adagrad (TF),,0.16777669787406918,0.24649085454642777,0.19816931162949258,mse,0.16777669787406918,0.24649085454642777,5.0
Higham Toy,"[64, 32, 16]",gradientdescent (TF),,0.15052592769265177,0.1830666843056679,0.0903289801176178,mse,0.15052592769265177,0.1830666843056679,5.0
Higham Toy,"[64, 32, 16]",gradientdescent (TF),20.0,0.15054727956652642,0.1887292301747948,0.12232765585543252,mse,0.15054727956652642,0.1887292301747948,5.0
Higham Toy,"[64, 32, 16]",gradientdescent (TF),1.0,0.15155985131859778,0.22023336596786977,0.17231180798125997,mse,0.15155985131859778,0.22023336596786977,5.0
Higham Toy,"[64, 32, 16]",adam (TF),,0.046329862345010034,0.28175985142588617,0.1643936403496185,mse,0.046329862345010034,0.28175985142588617,5.0
Higham Toy,"[64, 32, 16]",rmsprop (TF),,0.09539338737726212,0.248002061881125,0.12776845288713884,mse,0.09539338737726212,0.248002061881125,5.0
Higham Toy,"[64, 32, 16]",adagrad (TF),,0.12750837817788124,0.18138574197888374,0.13553047656129147,mse,0.12750837817788124,0.18138574197888374,5.0
Kaggle Dataset,[16],gradientdescent (TF),,0.3585012316703796,0.3969651305675507,0.029748492379637007,accuracy,0.87451420545578,0.8609349298477174,5.0
Kaggle Dataset,[16],gradientdescent (TF),20.0,0.30366455256938935,0.36547072768211364,0.020835417819303214,accuracy,0.894175066947937,0.8704124701023102,5.0
Kaggle Dataset,[16],gradientdescent (TF),1.0,0.27634497463703156,0.3707528120279312,0.03321209079832697,accuracy,0.8971173226833343,0.8665261232852937,5.0
Kaggle Dataset,[16],adam (TF),,0.19303907185792923,0.28321348905563354,0.018131057197130696,accuracy,0.9278918421268465,0.9030430817604064,5.0
Kaggle Dataset,[16],rmsprop (TF),,0.1925544059276581,0.2883571928739548,0.02219708558795985,accuracy,0.9293629705905915,0.9049495923519133,5.0
Kaggle Dataset,[16],adagrad (TF),,0.5388334822654725,0.5670048570632934,0.04006992047664498,accuracy,0.8046196174621582,0.7949037599563598,5.0
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),,0.14769138246774674,0.3008896479010582,0.03260911650020034,accuracy,0.947804765701294,0.8963153111934663,5.0
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),20.0,0.1268567207455635,0.35189444005489345,0.12047731659356534,accuracy,0.9534922099113464,0.8918790137767791,5.0
Kaggle Dataset,"[64, 32, 16]",gradientdescent (TF),1.0,0.1405245977640152,0.3187261775135994,0.03655439142588456,accuracy,0.9453666400909425,0.9014848804473876,5.0
Kaggle Dataset,"[64, 32, 16]",adam (TF),,0.2317437621951103,0.3095053172111511,0.02367906352701928,accuracy,0.9167323529720306,0.8925206255912782,5.0
Kaggle Dataset,"[64, 32, 16]",rmsprop (TF),,0.19154889822006224,0.3054396915435791,0.018019703864424523,accuracy,0.9320210826396942,0.9022181546688082,5.0
Kaggle Dataset,"[64, 32, 16]",adagrad (TF),,0.18110080212354662,0.27013865888118743,0.017275760108788275,accuracy,0.9404537141323089,0.9052428984642027,5.0
